[     417ms] [LOG] [tenantService] rowToTenant INPUT: {slug: gpsthailand, data.theme: Object, data.theme.primaryColor: #ff8800, full row.data keys: Array(13)} @ https://gpsthailand.centerlink.co.th/assets/index-VNRb2XwN.js:236
[  966488ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  996655ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  997794ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1000144ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1030415ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1031527ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1033627ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1063758ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1064906ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1066998ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1097128ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1098248ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1100372ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1130481ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1131575ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1133717ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1163832ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1164940ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[ 1167306ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
